Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
Asad Ali,Asad Ali,14/10/1988,2013-2013,2,0,0,0,0*,0.00,0,0,-,8.25,0/7,Pak,W
Asad Shafiq,Asad Shafiq,28/01/1986,2010-2012,10,10,192,0,38*,19.20,0,0,-,-,,Pak,W
Asif Ali*,Asif Ali,01/10/1991,2018-,58,51,577,0,41,15.18,0,0,-,-,,Pak,W
Awais Zia,Awais Zia,01/09/1986,2012-2014,5,5,70,0,23*,14.00,0,0,-,-,,Pak,W
Azam Khan*,Azam Khan,10/08/1998,2021-,14,13,88,0,30,8.80,0,0,-,-,,Pak,W
Babar Azam*,Babar Azam,15/10/1994,2016-,128,121,4223,3,122*,39.84,0,0,-,-,,Pak,W
Bilawal Bhatti,Bilawal Bhatti,17/09/1991,2013-2015,9,4,23,0,13,11.50,5,0,51.00,9.81,2/36,Pak,W
Danish Aziz,Danish Aziz,20/11/1995,2021-2021,2,2,37,0,22*,18.50,2,0,14.50,9.67,2/29,Pak,W
Faheem Ashraf*,Faheem Ashraf,16/01/1994,2017-,48,33,311,0,31*,12.44,36,0,27.25,7.65,3/5,Pak,W
Fakhar Zaman*,Fakhar Zaman,10/04/1990,2017-,92,84,1848,0,91*,22.81,0,0,-,12.00,0/12,Pak,W
Fawad Alam*,Fawad Alam,08/10/1985,2007-2010,24,17,194,0,28*,17.64,8,0,11.88,6.33,3/7,Pak,W
Haider Ali*,Haider Ali,02/10/2000,2020-,35,32,505,0,68*,17.41,0,0,-,-,,Pak,W
Hammad Azam,Hammad Azam,16/03/1991,2012-2013,5,4,34,0,21*,11.33,0,0,-,-,,Pak,W
Haris Rauf*,Haris Rauf,07/11/1993,2020-,83,27,100,0,13,6.67,118,4,20.67,8.22,4/18,Pak,W
Haris Sohail*,Haris Sohail,09/01/1989,2013-2019,14,13,210,0,52*,19.09,0,0,-,-,,Pak,W
Hasan Ali*,Hasan Ali,07/02/1994,2016-,51,19,129,0,23*,14.33,60,1,24.27,8.46,4/18,Pak,W
Hasan Nawaz*,Hasan Nawaz,21/08/2002,2025-,5,5,106,1,105,26.50,0,0,-,-,,Pak,W
Haseebullah Khan*,Haseebullah Khan,20/03/2003,2024-,3,3,36,0,24*,12.00,0,0,-,-,,Pak,W
Hussain Talat,Hussain Talat,12/02/1996,2018-2021,18,18,394,0,63*,24.63,4,0,13.50,9.00,2/12,Pak,W
Iftikhar Ahmed*,Iftikhar Ahmed,03/09/1990,2016-,66,55,998,0,62,24.34,8,0,43.63,7.10,3/24,Pak,W
