Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
H P Tillakaratne,Hashan Tillakaratne,14/07/1967,1986-2003,200,168,3789,2,104*,29.60,6,0,23.50,4.70,1/3,SRL,O
M H Tissera,Michael Tissera,23/03/1939,1975-1975,3,3,78,0,52*,26.00,0,0,-,-,,SRL,O
I Udana,Isuru Udana,17/02/1988,2012-2021,21,18,237,0,78*,16.93,18,0,52.78,6.27,3/82,SRL,O
M L Udawatte,Mahela Udawatte,19/07/1986,2008-2008,9,9,257,0,73*,28.56,0,0,-,-,,SRL,O
K E A Upashantha,Kalutarage Upashantha,10/06/1972,1995-2001,12,8,49,0,15*,7.00,12,1,40.08,5.12,4/37,SRL,O
W P U J C Vaas,Chaminda Vaas,21/01/1974,1994-2008,321,219,2018,0,50,13.73,399,13,27.46,4.18,8/19,SRL,O
J D F Vandersay*,Jeffrey Vandersay,05/02/1990,2015-,28,15,112,0,25*,11.20,40,2,26.60,5.36,6/33,SRL,O
M G Vandort,Michael Vandort,19/01/1980,2006-2006,1,1,48,0,48*,48.00,0,0,-,-,,SRL,O
K D K Vithanage,Kithuruwan Vithanage,26/02/1991,2013-2014,6,6,75,0,27*,15.00,0,0,-,8.50,0/7,SRL,O
D M Vonhagt,Dudley Vonhagt,31/03/1965,1985-1985,1,1,8,0,8*,8.00,0,0,-,-,,SRL,O
Wanindu Hasaranga*,Wanindu Hasaranga de Silva,29/07/1997,2017-,63,51,977,0,80,22.20,99,8,25.24,5.19,7/19,SRL,O
B Warnapura,Bandula Warnapura,01/03/1953,1975-1982,12,12,180,0,77*,15.00,8,0,39.50,4.58,3/42,SRL,O
B S M Warnapura,Malinda Warnapura,26/05/1979,2007-2008,3,3,35,0,30*,11.67,0,0,-,-,,SRL,O
K P J Warnaweera,Khahakachchi Warnaweera,23/11/1960,1990-1993,6,3,1,0,1,0.00,6,0,33.33,4.08,2/24,SRL,O
A P Weerakkody,Ajith Weerakkody,01/10/1970,1994-1994,1,1,2,0,2*,2.00,0,0,-,6.83,0/41,SRL,O
D S Weerakkody,Sandun Weerakkody,03/09/1993,2017-2017,3,3,73,0,58*,24.33,0,0,-,-,,SRL,O
