Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
P P Shaw,Prithvi Shaw,09/11/1999,2020-2021,6,6,189,0,49*,31.50,0,0,-,-,,IND,O
Shubman Gill*,Shubman Gill,08/09/1999,2019-,55,55,2775,8,208*,59.04,0,0,-,8.33,0/11,IND,O
L R Shukla,Laxmi Shukla,06/05/1981,1999-1999,3,2,18,0,13*,9.00,1,0,94.00,4.95,1/25,IND,O
N S Sidhu,Navjot Sidhu,20/10/1963,1987-1998,136,127,4413,6,134,37.08,0,0,-,4.50,0/1,IND,O
R P Singh,RP Singh,06/01/1965,1986-1986,2,0,0,0,0*,0.00,1,0,77.00,5.63,1/58,IND,O
R P Singh,R P Singh,06/12/1985,2005-2011,58,20,104,0,23*,10.40,69,2,33.96,5.48,4/35,IND,O
R R Singh,Robin Singh,14/09/1963,1989-2001,136,113,2336,1,100*,25.96,69,2,43.26,4.80,5/22,IND,O
V R Singh,Vikram Singh,17/09/1984,2006-2006,2,1,8,0,8*,8.00,0,0,-,8.75,0/33,IND,O
L Sivaramakrishnan,Laxman Sivaramakrishnan,31/12/1965,1985-1987,16,4,5,0,2,2.50,15,0,35.87,4.27,3/35,IND,O
R S Sodhi,Reetinder Sodhi,18/10/1980,2000-2002,18,14,280,0,67*,25.45,5,0,73.00,4.74,2/31,IND,O
E D Solkar,Eknath Solkar,18/03/1948,1974-1976,7,6,27,0,13*,4.50,4,0,42.25,4.02,2/31,IND,O
S B Somasunder,Sujith Somasunder,02/12/1972,1996-1996,2,2,16,0,9*,8.00,0,0,-,-,,IND,O
B B Sran,Barinder Sran,10/12/1992,2016-2016,6,0,0,0,0*,0.00,7,0,38.43,5.34,3/56,IND,O
S Sreesanth,Sreesanth,06/02/1983,2005-2011,53,21,44,0,10,4.00,75,3,33.44,6.08,6/55,IND,O
K Srikkanth,Kris Srikkanth,21/12/1959,1981-1992,146,145,4091,4,123*,29.01,25,2,25.64,5.40,5/27,IND,O
J Srinath,Javagal Srinath,31/08/1969,1991-2003,229,121,883,0,53*,10.64,315,10,28.09,4.45,5/23,IND,O
T E Srinivasan,Tirumalai Srinivasan,26/10/1950,1980-1981,2,2,10,0,6*,5.00,0,0,-,-,,IND,O
S Sriram,Sridharan Sriram,21/02/1976,2000-2004,8,7,81,0,57*,13.50,9,0,30.44,5.07,3/43,IND,O
R Sudhakar Rao,Sudhakar Rao,08/08/1952,1976-1976,1,1,4,0,4*,4.00,0,0,-,-,,IND,O
S R Tendulkar,Sachin Tendulkar,24/04/1973,1989-2012,463,452,18426,49,200,44.83,154,6,44.48,5.10,5/32,IND,O
S N Thakur*,Shardul Thakur,16/10/1991,2017-,47,25,329,0,50,17.32,65,3,30.98,6.23,4/37,IND,O
N T T Tilak Varma*,Tilak Varma,08/11/2002,2023-,4,4,68,0,52*,22.67,0,0,-,5.57,0/18,IND,O
M K Tiwary,Manoj Tiwary,14/11/1985,2008-2015,12,12,287,1,104,26.09,5,1,30.00,6.82,4/61,IND,O
S S Tiwary,Saurabh Tiwary,30/12/1989,2010-2010,3,2,49,0,37,0.00,0,0,-,-,,IND,O
S Tyagi,Sudeep Tyagi,19/09/1987,2009-2010,4,1,1,0,1,0.00,3,0,48.00,5.24,1/15,IND,O
