Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
A G R Loudon,Alexander Loudon,06/09/1980,2006-2006,1,1,0,0,0*,0.00,0,0,-,6.00,0/36,ENG,O
J D Love,James Love,22/04/1955,1981-1981,3,3,61,0,43*,20.33,0,0,-,-,,ENG,O
M B Loye,Malachy Loye,27/09/1972,2007-2007,7,7,142,0,45*,20.29,0,0,-,-,,ENG,O
B W Luckhurst,Brian Luckhurst,05/02/1939,1975-1975,3,3,15,0,14*,5.00,0,0,-,-,,ENG,O
M J Lumb,Michael Lumb,12/02/1980,2014-2014,3,3,165,1,106*,55.00,0,0,-,-,,ENG,O
M A Lynch,Monte Lynch,21/05/1958,1988-1988,3,3,8,0,6*,2.67,0,0,-,-,,ENG,O
D L Maddy,Darren Maddy,23/05/1974,1998-2000,8,6,113,0,53*,18.83,0,0,-,-,,ENG,O
S Mahmood*,Saqib Mahmood,25/02/1997,2020-,13,6,29,0,12*,9.67,17,1,32.82,5.29,4/42,ENG,O
S I Mahmood,Sajid Mahmood,21/12/1981,2004-2009,26,15,85,0,22,7.73,30,1,38.97,5.86,4/50,ENG,O
D J Malan*,Dawid Malan,03/09/1987,2019-,30,30,1450,6,140*,55.77,1,0,17.00,6.80,1/5,ENG,O
D E Malcolm,Devon Malcolm,22/02/1963,1990-1994,10,5,9,0,4*,3.00,16,0,25.25,4.61,3/40,ENG,O
V J Marks,Victor Marks,25/06/1955,1980-1988,34,24,285,0,44*,13.57,44,2,25.80,3.74,5/20,ENG,O
P J Martin,Peter Martin,15/11/1968,1995-1998,20,13,38,0,6*,6.33,27,1,29.85,4.61,4/44,ENG,O
A D Mascarenhas,Dimitri Mascarenhas,30/10/1977,2007-2009,20,13,245,0,52*,22.27,13,0,48.77,4.63,3/23,ENG,O
M P Maynard,Matthew Maynard,21/03/1966,1994-2000,14,12,156,0,41*,14.18,0,0,-,-,,ENG,O
A McGrath,Anthony McGrath,06/10/1975,2003-2004,14,12,166,0,52*,16.60,4,0,43.75,4.61,1/13,ENG,O
S C Meaker,Stuart Meaker,21/01/1989,2011-2011,2,2,2,0,1*,1.00,2,0,55.00,5.79,1/45,ENG,O
G Miller,Geoff Miller,08/09/1952,1977-1984,25,18,136,0,46*,8.50,25,0,32.52,3.85,3/27,ENG,O
Moeen Ali*,Moeen Ali,18/06/1987,2014-,138,112,2355,3,128*,24.28,111,2,47.85,5.32,4/46,ENG,O
E J G Morgan,Eoin Morgan,10/09/1986,2009-2022,225,207,6957,13,148*,39.75,0,0,-,-,,ENG,O
J E Morris,John Morris,01/04/1964,1990-1991,8,8,167,0,63,23.86,0,0,-,-,,ENG,O
D R Mousley*,Dan Mousley,08/07/2001,2024-,3,3,69,0,57*,34.50,0,0,-,8.50,0/17,ENG,O
M D Moxon,Martyn Moxon,04/05/1960,1985-1988,8,8,174,0,70*,21.75,0,0,-,-,,ENG,O
A D Mullally,Alan Mullally,12/07/1969,1996-2001,50,25,86,0,20*,5.73,63,2,27.43,3.84,4/18,ENG,O
P Mustard,Philip Mustard,08/10/1982,2007-2008,10,10,233,0,83*,23.30,0,0,-,-,,ENG,O
P A Nixon,Paul Nixon,21/10/1970,2007-2007,19,18,297,0,49*,21.21,0,0,-,-,,ENG,O
C M Old,Chris Old,22/12/1948,1973-1981,32,25,338,0,51,18.78,45,2,22.20,3.42,4/8,ENG,O
G Onions,Graham Onions,09/09/1982,2009-2009,4,1,1,0,1*,1.00,4,0,46.25,5.44,2/58,ENG,O
C Overton*,Craig Overton,10/04/1994,2018-,7,5,68,0,32*,22.67,5,0,58.20,5.67,2/23,ENG,O
