Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
L L Tsotsobe,Lonwabo Tsotsobe,07/03/1984,2009-2013,61,21,56,0,16,7.00,94,7,24.97,4.75,4/22,SAF,O
H E van der Dussen*,Rassie van der Dussen,07/02/1989,2019-,71,65,2657,6,134*,50.13,1,0,3.00,3.00,1/3,SAF,O
R E van der Merwe*,Roelof van der Merwe,31/12/1984,2009-,13,7,39,0,12*,9.75,17,0,33.00,4.77,3/27,SAF,O
J J van der Wath,Johannes van der Wath,10/10/1978,2006-2007,10,8,89,0,37,14.83,13,0,42.38,6.29,2/21,SAF,O
M van Jaarsveld,Martin van Jaarsveld,18/06/1974,2002-2004,11,7,124,0,45*,20.67,2,0,9.00,3.48,1/0,SAF,O
V B van Jaarsveld,Vaughn van Jaarsveld,02/02/1985,2009-2009,2,2,9,0,5*,4.50,0,0,-,-,,SAF,O
M N van Wyk,Morne van Wyk,20/03/1979,2003-2015,17,17,425,0,82*,26.56,0,0,-,-,,SAF,O
C J P Van Zyl,Cornelius Van Zyl,01/10/1961,1992-1992,2,2,3,0,3,3.00,0,0,-,5.17,0/40,SAF,O
K Verreynne*,Kyle Verreynne,12/05/1997,2020-,19,16,533,0,95*,38.07,0,0,-,-,,SAF,O
K C Wessels,Kepler Wessels,14/09/1957,1991-1994,55,54,1627,0,90*,32.54,0,0,-,5.50,0/11,SAF,O
D Wiese*,David Wiese,18/05/1985,2015-,6,6,102,0,41,20.40,9,0,35.11,6.45,3/50,SAF,O
H S Williams,Henry Williams,11/06/1967,1999-2000,7,2,8,0,7*,8.00,9,0,25.33,4.16,3/38,SAF,O
L B Williams*,Lizaad Williams,01/10/1993,2021-,7,3,17,0,13*,5.67,16,2,22.63,5.97,4/32,SAF,O
C M Willoughby,Charl Willoughby,03/12/1974,2000-2003,3,2,0,0,0*,0.00,2,0,74.00,5.29,2/39,SAF,O
M Yachad,Mandy Yachad,17/11/1960,1991-1991,1,1,31,0,31*,31.00,0,0,-,-,,SAF,O
M Zondeki,Monde Zondeki,25/07/1982,2002-2008,11,2,4,0,3,0.00,11,0,40.00,5.24,2/40,SAF,O
K Zondo*,Khayelihle Zondo,07/03/1990,2018-2021,6,6,146,0,54*,29.20,0,0,-,-,,SAF,O
Total Players = 158,,,,,,,,,,,,,,,SAF,O
